method,RMSE,MAE,normalized_RMSE,relative_RMSE,normalized_MAE,realative_MAE,r2_score,pearson_r,r2_pearson,spearman_r,lineRegressSlope,mean_RMSE,mean_MAE,mean_normalized_RMSE,mean_relative_RMSE,mean_normalized_MAE,mean_realative_MAE,mean_r2_score,mean_pearson_r,mean_r2_pearson,mean_spearman_r,mean_lineRegressSlope
reaction_norm__inflated,27.912367201741194,21.8046921562232,1.8726447732242226,0.46164001350635675,1.4628799665392558,0.3606257508991537,-2.5067984466840003,0.4486444181393023,0.2012818139275531,0.4244571310806148,0.21422793142142063,25.84260401811762,23.547024603267232,4.008191736227004,0.4537371056978971,3.680445433926955,0.4123501569980183,-26.82842077305508,0.15043538595014433,0.07190554144404998,0.13381543245453265,0.13137296667671938
reaction_norm__noise0.5,14.780762246573502,11.792063298868044,0.9916434878224568,0.24445763534942286,0.7911312409496001,0.1950278248065494,0.016643193059312833,0.40010324707092054,0.16008260831669407,0.3851383166823594,0.5138651569450571,14.372922930255934,12.42893943808467,2.1538479770635077,0.2690157802672378,1.8766269020633715,0.23454933223182658,-5.142928750310256,0.07139280698713957,0.030944286071748445,0.06076299385944236,0.09811190605702841
reaction_norm__noise1.5,20.913862187914745,16.623059129304764,1.4031140544642575,0.34589239791517146,1.1152434535021418,0.27492721006086923,-0.9687290498351282,0.2546115219363151,0.06482702710272666,0.24436275373125524,0.20028954019012826,21.094170373335917,17.159161396512626,3.192423324813584,0.3866357383384682,2.603369425331932,0.31571678305715156,-10.973300516563562,0.01405482809215424,0.02059633183208138,0.01625347413048198,0.008278042892227437
reaction_norm__shrunk,13.934378635521078,11.104877723323868,0.9348594883169942,0.230459376483961,0.7450278607892242,0.18366252726360946,0.12603773710368782,0.44864441813930234,0.20128181392755315,0.4244571310806148,2.5707351770570472,13.172622626678416,11.680263827738258,1.899353777975914,0.25082329958647537,1.6924616702549682,0.22443689520545945,-3.5633569167033134,0.15043538595014433,0.07190554144404998,0.13381543245453265,1.5764756001206326
rf_large,13.966346399587573,10.970452219528834,0.9370042102554134,0.2309880883244424,0.736009234197994,0.18143927651103026,0.12202310996362897,0.44727991661044914,0.20005932380305033,0.4389279460004516,0.61558643730834,13.291909514024468,11.58787675148178,2.003099083783145,0.24940497342638987,1.7636815085244892,0.21935576570748544,-4.741626076520655,0.17721610426783385,0.07712817189536762,0.16857335066018944,0.3254300852382888
rf_large__biased,18.408799953007247,14.908818787891882,1.2350490649599535,0.3044614094361713,1.0002348197952633,0.24657555043116863,-0.5253461928584553,0.44727991661044914,0.20005932380305033,0.4389279460004516,0.6155864373083403,16.930028045077425,15.191034053975203,2.525544918724252,0.3341401063581928,2.287346520949794,0.3046232963916879,-7.518840178733561,0.17721610426783388,0.07712817189536762,0.16857335066018944,0.32543008523828876
rf_large__inflated,29.061549804051456,22.23302370425371,1.9497436010714817,0.4806462363830279,1.491616792363772,0.3677098860493129,-2.801500109919189,0.4472799166104492,0.2000593238030504,0.4389279460004516,0.20519547910278,27.285020315215313,23.963883519082067,4.256544324751518,0.4775737805618311,3.7643930388443425,0.4186055260569482,-29.063273767199973,0.17721610426783385,0.07712817189536762,0.16857335066018944,0.1084766950794296
rf_large__noise0.5,14.920320454412199,11.771074207171806,1.0010064682741247,0.2467657754109924,0.7897230797364861,0.1946806881948781,-0.0020139495266360274,0.4042289186990126,0.16340101871257295,0.39326561862911996,0.4984928782938169,14.442103301209585,12.343145272604273,2.182659461827839,0.2703304549984652,1.8787240530973577,0.2329795484116778,-5.439623375570373,0.11761353658020865,0.044853959421858366,0.11252425958561035,0.13136256475144784
rf_large__noise1.5,21.450917526841007,17.059553529408692,1.4391451752252975,0.35477470560780294,1.1445279262589088,0.2821463498530276,-1.0711388353742528,0.24128218112350508,0.05821709092771591,0.22773038654064096,0.18503840853922326,21.353745658316246,17.423761561397228,3.235378517803273,0.3913250923257502,2.6476390531985934,0.32070885263528837,-11.36194924237461,0.035083390925210726,0.0229525822711825,0.03556647562600696,0.01583625728443712
rf_large__shrunk,13.906928057164473,11.069022378774134,0.9330178250245209,0.230005373952692,0.7426223205110416,0.18306951909548885,0.1294777381865122,0.4472799166104493,0.20005932380305047,0.4389279460004516,2.4623457492333607,13.143475802719962,11.65762848126545,1.899429208787574,0.25081981315659957,1.693168134847934,0.22457833398611154,-3.5940077097849747,0.17721610426783393,0.07712817189536765,0.16857335066018944,1.3017203409531557
rf_large__shuffled,15.668681821019414,12.219754663083059,1.051214141150129,0.2591428536032942,0.8198251167488703,0.20210137201685033,-0.10505117055400359,0.29101999731035433,0.08469263883451864,0.28829657005001547,0.40052762638522305,15.321730800626163,12.773495586936699,2.2862084061436767,0.2871435377874844,1.9129977503834585,0.24179587245765308,-5.473710523160069,0.06407873529018387,0.025407352687343333,0.08684624545629827,0.06313227453634879
rf_small,13.751696776628203,10.856243916856629,0.9226033358471567,0.22743801841722516,0.728346982569097,0.17955039614459375,0.14880308468369852,0.450926151131884,0.20333439377461468,0.44531524673162465,0.6588701417949173,13.006173693838804,11.445141938723783,1.9497180528969942,0.2445203911311826,1.7342707355251066,0.21702392815132657,-4.4516793587755625,0.196068295869675,0.09086589124474713,0.1811852229632451,0.6260467402822484
ridge_pc100_hi,13.754956733910943,10.944221669670194,0.9228220468551602,0.22749193454383518,0.7342494227948066,0.18100545191623676,0.1483994698380523,0.45054186754462366,0.2029879744105972,0.42986932921936083,0.6588599890379934,13.175601694806813,11.604898833965636,1.9648660754890095,0.24855208750347282,1.7500547269696325,0.22086493735178878,-4.297237182268568,0.1618834984235375,0.06603350291497478,0.12951301265548354,0.41434946812661916
ridge_pc100_lo,13.756995222637554,10.945806507901617,0.9229588093601666,0.22752564891698326,0.7343557498221429,0.18103166340655114,0.14814703622446357,0.4504331120995586,0.20288998847569353,0.4297472692433635,0.6584885816176314,13.177913380116731,11.606693813998522,1.9652500956213024,0.24859459926317254,1.750358032786341,0.2208981417930356,-4.299210264721738,0.16142313439287392,0.06587542915811277,0.12876754324714332,0.4124583194732595
ridge_pc10_hi,13.776108678814186,10.958223406437142,0.9242411339136063,0.2278417645693663,0.735188801349953,0.18123702532251537,0.1457783263820912,0.4466282277260235,0.1994767738016887,0.42525515849705664,0.6587824447193075,13.187424231049683,11.617800476514608,1.9671157200233869,0.24866713684166103,1.7531530076085375,0.2210173915441901,-4.340494586377624,0.15116725935093855,0.0679264379070934,0.12109413705809378,0.42299028895799773
ridge_pc10_lo,13.77763773743795,10.95931967759173,0.9243437186789559,0.22786705352600062,0.7352623503410807,0.1812551564479392,0.14558868973875894,0.4465569280565195,0.19941308999527552,0.4251792078360486,0.6584817389208064,13.189087104213044,11.61906025627517,1.9673987068249523,0.24869801723665744,1.7533766442296206,0.22104114553135304,-4.342164510353675,0.1508796056575052,0.06782967626418132,0.1205661349647926,0.42172141504608623
ridge_pc25_hi,13.778366201486813,10.961862382627658,0.9243925914378921,0.2278791015243279,0.7354329407915777,0.18129721000716062,0.14549833689473812,0.44701250713619206,0.19982018153618417,0.42574341769971535,0.6575943976715043,13.183722701352687,11.615390162148094,1.966783793792675,0.24862819281225232,1.7530078684361348,0.22099701328703902,-4.334791973403133,0.1579592486740273,0.06886395429922809,0.12813748448509543,0.42802445723245425
ridge_pc25_lo,13.780000598406032,10.963049465518642,0.924502243364797,0.22790613266111429,0.7355125823553017,0.18131684305934379,0.1452956020134576,0.44693337369783154,0.19974944052492555,0.42565154883526873,0.6572804363570087,13.185466670183104,11.616733810583478,1.967080460973806,0.24866040685550958,1.7532447117468384,0.22102216928595647,-4.336542070469454,0.1576676782118685,0.0687625452535107,0.12765576887424415,0.4267700188713745
