dataset,unit,s2g,s2e,entries,plots,n0,n_harm,n_bar,frac_single,ceiling_n1,ceiling_n2,ceiling_n3,ceiling_n4,ceiling_n_harm,ceiling_inf,H2_n1,H2_n2,legacy_H2,legacy_ceiling,legacy_nbar,blue_reliability,blue_ceiling,blue_lines
maize_G2F,INH1_2016,2.4155073557098965,2.1141526812149265,247.0,499.0,2.020088958404614,1.991935483870968,2.020242914979757,0.012145748987854251,0.730249684534288,0.8340226039996086,0.8798552543334172,0.9057991762629585,0.8335091479128806,1.0,0.5332646017624271,0.6955937039822879,0.6935550025813876,0.832799497226906,2.0327868852459017,,,
maize_G2F,INH1_2017,1.8080119367853227,1.621410340901039,178.0,364.0,2.0446079344384427,2.0056338028169014,2.044943820224719,0.011235955056179775,0.7260895132001042,0.830914531175545,0.8774189788914584,0.9038038240634287,0.8312760526344377,1.0,0.5272059811791643,0.6904189581186758,0.6902265971898925,0.8307987705755784,2.0568181818181817,,,
maize_G2F,INH1_2018,0.6140755035491919,1.5146418333381078,411.0,495.0,1.2039320029563931,1.1040967092008058,1.2043795620437956,0.8175182481751825,0.5370959628005231,0.6691590882834874,0.7408057755394194,0.7864914563869198,0.5560716073960749,1.0,0.28847207325662083,0.44777388543238805,0.6785172553865098,0.8237215885155067,2.12,,,
maize_G2F,INH1_2019,1.2667021063686794,1.6349891955438596,467.0,491.0,1.0512049509191193,1.0226277372262775,1.051391862955032,0.9571734475374732,0.6607111598882598,0.7795929336838854,0.8361694252241675,0.8695040065893253,0.6648688610868972,1.0,0.4365392368008896,0.6077651422498469,0.8538624270758651,0.9240467667146859,2.2,,,
maize_G2F,INH1_2020,0.6501506365111197,2.9528894050031997,416.0,580.0,1.39292064810968,1.1691140307735544,1.3942307692307692,0.7403846153846154,0.42478820740973644,0.552922887309248,0.6306981555761187,0.6843116258177635,0.4524530954976642,1.0,0.18044502115437724,0.3057237193103953,0.5599368604762872,0.7482892892967847,2.5185185185185186,,,
maize_G2F,INH1_2021,1.6123146578325926,1.5220941995680575,415.0,588.0,1.4156725492129218,1.185149928605426,1.416867469879518,0.7204819277108434,0.7172112252119465,0.8242195869952443,0.8721472434178037,0.8994745515795916,0.7460692669448593,1.0,0.5143919415700213,0.6793379275866112,0.831117778416677,0.9116566121170169,2.4913793103448274,,,
maize_G2F,KSH1_2015,0.3178730267734744,3.2196389879008045,422.0,481.0,1.1395104221707548,1.07129257457161,1.1398104265402844,0.8696682464454977,0.29976289672098666,0.40607659373009186,0.4780241579573946,0.5320824912139596,0.30927532632999044,1.0,0.0898577942505569,0.16489819997543406,0.23524983466059657,0.48502560206714507,2.0727272727272728,,,
maize_G2F,KSH1_2016,0.41386806465842385,4.639196424238966,316.0,486.0,1.53710889019531,1.3224523958987235,1.5379746835443038,0.5348101265822784,0.28618939572041713,0.38911152830319345,0.4594871365904913,0.5128312902681296,0.32485014813596347,1.0,0.0819043702228175,0.1514077814584469,0.1726799636380733,0.41554778743012616,2.1564625850340136,,,
maize_G2F,MIH1_2016,2.8207546337630323,2.4676816780676836,240.0,485.0,2.020549540611655,1.9618528610354224,2.0208333333333335,0.03333333333333333,0.7303297901074497,0.8340822700392375,0.8799019551160828,0.9058373918379586,0.8316255032361599,1.0,0.5333816023183916,0.6956932331938075,0.6980289648316542,0.8354812773675148,2.0560344827586206,,,
maize_G2F,MIH1_2017,1.7277225095008046,3.3847208700065536,187.0,381.0,2.0371687410041486,2.0035714285714286,2.037433155080214,0.0106951871657754,0.5813300059871015,0.7107529588761015,0.7777870762680119,0.8192961814618908,0.7110666263328523,1.0,0.33794457586096344,0.5051697685511332,0.4957071220180332,0.7040647143679573,2.0486486486486486,,,
